report_date,search_vertical,search_query,control_searches,treatment_searches,control_ctr,treatment_ctr,control_cvr,treatment_cvr,ctr_pct_change,cvr_pct_change,ctr_stat_sig,cvr_stat_sig,control_avg_click_rank,treatment_avg_click_rank,control_zrr,treatment_zrr,zrr_pct_change,treatment_traffic_pct
2026-06-03,BAEMIN_DELIVERY,메가커피,948,811,0.6646,0.6683,0.2025,0.2109,0.56,4.15,No,No,1.54,1.64,0.0042,0.0,-100.0,46.1
2026-06-03,ALL,찜닭,935,803,0.569,0.6015,0.1893,0.1943,5.71,2.64,No,No,1.09,0.86,0.0,0.0,,46.2
2026-06-03,ALL,베스킨라빈스,827,833,0.8126,0.8307,0.2987,0.2569,2.23,-13.99,No,No,0.31,0.28,0.0012,0.0,-100.0,50.2
2026-06-03,ALL,BHC,816,829,0.7868,0.7636,0.2488,0.234,-2.95,-5.95,No,No,0.55,0.58,0.0,0.0,,50.4
2026-06-03,BAEMIN_DELIVERY,찜닭,865,777,0.6694,0.6615,0.222,0.2329,-1.18,4.91,No,No,2.82,2.17,0.0,0.0026,,47.3
2026-06-03,ALL,밀면,787,838,0.5502,0.4702,0.197,0.142,-14.54,-27.92,Yes,Yes,0.94,0.96,0.0,0.0,,51.6
2026-06-03,ALL,육회,787,832,0.5756,0.5721,0.1817,0.1442,-0.61,-20.64,No,Yes,0.97,0.85,0.0,0.0,,51.4
2026-06-03,BAEMIN_DELIVERY,짬뽕,823,795,0.6136,0.6277,0.1993,0.2063,2.3,3.51,No,No,4.13,4.05,0.0012,0.0,-100.0,49.1
2026-06-03,ALL,신전떡볶이,746,870,0.7292,0.7402,0.2493,0.2195,1.51,-11.95,No,No,0.33,0.37,0.0,0.0,,53.8
2026-06-03,BAEMIN_DELIVERY,파스타,842,766,0.6449,0.6723,0.1888,0.1945,4.25,3.02,No,No,4.02,3.77,0.0,0.0,,47.6
2026-06-03,BAEMIN_DELIVERY,콩국수,787,805,0.7116,0.6696,0.2033,0.1963,-5.9,-3.44,No,No,3.59,3.19,0.0,0.0,,50.6
2026-06-03,ALL,쌀국수,785,774,0.521,0.5168,0.1643,0.177,-0.81,7.73,No,No,0.92,0.89,0.0,0.0,,49.6
2026-06-03,ALL,와플,803,754,0.5841,0.618,0.142,0.126,5.8,-11.27,No,No,0.96,1.02,0.0,0.0,,48.4
2026-06-03,ALL,콩국수,785,763,0.5605,0.5229,0.1452,0.1442,-6.71,-0.69,No,No,0.97,0.94,0.0,0.0,,49.3
2026-06-03,BAEMIN_DELIVERY,와플,703,841,0.6814,0.6908,0.1607,0.1581,1.38,-1.62,No,No,2.73,2.49,0.0,0.0,,54.5
2026-06-03,ALL,샐러드,758,785,0.5607,0.5299,0.1464,0.1096,-5.49,-25.14,No,Yes,1.09,1.04,0.0,0.0,,50.9
2026-06-03,ALL,회,785,752,0.5656,0.5426,0.1274,0.121,-4.07,-5.02,No,No,0.99,1.05,0.0,0.0,,48.9
2026-06-03,ALL,kfc,778,757,0.8085,0.7728,0.2172,0.1968,-4.42,-9.39,No,No,0.16,0.14,0.0,0.0,,49.3
2026-06-03,ALL,과일,762,762,0.5958,0.5866,0.1378,0.1325,-1.54,-3.85,No,No,0.89,0.93,0.0,0.0,,50.0
2026-06-03,BAEMIN_DELIVERY,교촌,809,712,0.7503,0.757,0.2485,0.2626,0.89,5.67,No,No,0.53,0.64,0.0124,0.0,-100.0,46.8
2026-06-03,ALL,컴포즈,738,774,0.7398,0.761,0.1748,0.1925,2.87,10.13,No,No,0.6,0.58,0.0014,0.0,-100.0,51.2
2026-06-03,BAEMIN_DELIVERY,케이크,760,737,0.7158,0.7571,0.0947,0.0991,5.77,4.65,No,No,6.27,5.87,0.0,0.0,,49.2
2026-06-03,ALL,닭강정,749,742,0.5127,0.5323,0.1322,0.1617,3.82,22.31,No,No,0.94,1.04,0.0,0.0,,49.8
2026-06-03,ALL,bhc,770,719,0.7416,0.7121,0.1831,0.1822,-3.98,-0.49,No,No,0.56,0.58,0.0,0.0,,48.3
2026-06-03,BAEMIN_DELIVERY,BBQ,725,742,0.7186,0.7251,0.2207,0.2399,0.9,8.7,No,No,1.35,1.37,0.0028,0.0,-100.0,50.6
2026-06-03,ALL,노랑통닭,750,708,0.7187,0.7203,0.212,0.2359,0.22,11.27,No,No,0.55,0.52,0.0,0.0,,48.6
2026-06-03,BAEMIN_DELIVERY,설빙,738,719,0.6843,0.733,0.164,0.2211,7.12,34.82,Yes,Yes,0.6,0.6,0.0176,0.0014,-92.05,49.3
2026-06-03,ALL,지코바,717,732,0.7462,0.75,0.2985,0.2459,0.51,-17.62,No,Yes,0.54,0.5,0.0,0.0,,50.5
2026-06-03,ALL,기영이숯불두마리치킨,710,723,0.6746,0.6445,0.1183,0.0858,-4.46,-27.47,No,Yes,0.19,0.35,0.0,0.0,,50.5
